method,timestamp,dataset,network,mask_mode,grad_topfrac,lr,iteration,num_exp,num_dummy,med_final_loss,avg_final_loss,med_final_mse,avg_final_mse,avg_psnr
iDLG,20260305_111901,MNIST,LeNet,gradsize_topfrac,0.9,1,300,50,1,5.689580007128825e-07,5.992270694077643,2.8528499740332336e-07,23909790342241.46,56.51288940072888
iDLG_masked,20260305_111901,MNIST,LeNet,gradsize_topfrac,0.9,1,300,50,1,5.201162878165633e-07,0.4914159891401627,1.5178663659298763e-07,51.0719346043991,61.798041211946774
