method,timestamp,dataset,network,mask_mode,lr,iteration,num_exp,num_dummy,avg_final_loss,avg_final_mse,avg_psnr
iDLG,20260303_102630,MNIST,LeNet,conv12_fc,1,300,50,1,6.461695534198952e-07,18.297341282663425,3.120277227708357e-07,3.3772118906163566e+21,54.75489337784025
iDLG_masked,20260303_102630,MNIST,LeNet,conv12_fc,1,300,50,1,6.522512023821037e-07,13.349961054456076,3.33639036398381e-07,13968702171663.953,44.6410065384497
iDLG,20260303_103448,MNIST,LeNet,conv12_fc,1,300,50,1,3.8343004860053043e-07,18.323608186499705,1.004038203689106e-07,14784796521.933508,54.93411565544173
iDLG_masked,20260303_103448,MNIST,LeNet,conv12_fc,1,300,50,1,5.510782727924379e-07,18.14252376543831,2.8985213873511384e-07,4.2935304378531445e+22,41.10797213652483
iDLG,20260303_111014,MNIST,LeNet,conv12_fc,1,300,100,1,4.886794329195254e-07,27.40558849960364,2.432103798355456e-07,41293293950.27118,51.3494581155454
iDLG_masked,20260303_111014,MNIST,LeNet,conv12_fc,1,300,100,1,5.105663660742721e-07,8.634602752245677,2.7589950946094177e-07,2.0008053422611624e+19,55.10984646731347
iDLG,20260305_094648,MNIST,LeNet_bigger,conv12_fc,1,300,30,1,8.154800070769852e-07,208.25247481511502,3.824221010972906e-07,7.411468431054826e+23,9.625929426959098
iDLG_masked,20260305_094648,MNIST,LeNet_bigger,conv12_fc,1,300,30,1,5.330244334800227e-07,39.59149836587785,1.068230055523145e-07,14781983450055.28,39.70747827638698
iDLG,20260305_101712,MNIST,LeNet_bigger,gradsize_topfrac,1,300,10,1,8.944086573592358e-07,0.00389932707519165,0.004565212642773986,83499097.71993218,9.2676916637415
iDLG_masked,20260305_101712,MNIST,LeNet_bigger,gradsize_topfrac,1,300,10,1,4.337828016787171e-07,4.730025656485282e-07,0.0019513459410518408,0.1312678257934749,24.04616373297861
iDLG,20260305_102138,MNIST,LeNet_bigger,gradsize_topfrac,1,300,10,1,5.389025687918547e-07,121.13486346160126,0.00014124116871983006,806.2585912011211,31.46599884252165
iDLG_masked,20260305_102138,MNIST,LeNet_bigger,gradsize_topfrac,1,300,10,1,7.24154176623415e-07,38.67000149823899,6.437404387327206e-08,7850.912884075294,36.49490729857585
iDLG,20260305_103832,MNIST,LeNet_bigger,gradsize_topfrac,1,300,10,1,6.999495099080377e-07,56.63401695059806,7.42876231640821e-08,136028966.40362263,52.0564335114859
iDLG_masked,20260305_103832,MNIST,LeNet_bigger,gradsize_topfrac,1,300,10,1,6.254923334836349e-07,0.001991963887309112,0.0022155484184622765,362287385.60220563,14.429964496834675
iDLG,20260305_104715,MNIST,LeNet_bigger,gradsize_topfrac,0.9,1,300,30,1,5.437974834876513e-07,88.13304985224298,5.8788362622408386e-08,3960355682.8030176,46.89887031015557
iDLG_masked,20260305_104715,MNIST,LeNet_bigger,gradsize_topfrac,0.9,1,300,30,1,6.504414500341227e-07,33.55591059942403,6.478553871147597e-08,169.24151482320212,57.39564213983039
iDLG,20260305_105840,MNIST,LeNet_bigger,gradsize_topfrac,0.5,1,300,30,1,7.250291673699394e-07,93.31978937938675,2.0429842706448653e-07,30687707041.07562,35.503716580550446
iDLG_masked,20260305_105840,MNIST,LeNet_bigger,gradsize_topfrac,0.5,1,300,30,1,7.037974683044013e-07,182.72941216712894,9.460984173870202e-08,33270416044.127125,27.441522667433688
